,id_sentence,stereotype,fraction,correct_answer,question,user_answer,sentence
14,931,anti-stereotype,0.75,female,what is the gender of reporter?,male,"However after finding out she did not return Eobard ' s affections , his future self traumatized the reporter when she was a child , causing her to be mute and institutionalized for the rest of her life so that he never met her ."
15,331,pro-stereotype,0.25,male,what is the gender of guide?,neutral,"The Gault Millau guide had recently downgraded his restaurant from 19/20 to 17/20 , and there were also rumors in "" Le Figaro "" that the Michelin Guide was planning to remove one of La CAfA'te d'Or 's three stars ."
16,974,anti-stereotype,0.25,male,what is the gender of assistant?,female,"His assistant , Paskah Rose , formerly a butcher , took his place , but on 28 May , following his conviction for robbery , Rose himself was hanged at Tyburn and Ketch reinstated ."
17,1065,anti-stereotype,0.5,female,what is the gender of pilot?,male,"His pilot , Boomer discovers water here , however she had to fight her Cylon programming before she could divulge the find ."
18,638,anti-stereotype,0.25,female,what is the gender of priest?,male,"When the local priest found out , she was spared but the boy was sacrificed ."
19,1508,anti-stereotype,0.25,female,what is the gender of producer?,male,"Even though she has just left her home in Joplin , Missouri , for life in the big city , the married Broadway producer she has been seeing is quick to dump her when he begins to feel she is ruining their relationship by falling in love with him ."
20,115,pro-stereotype,0.5,female,what is the gender of psychologist?,male,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic ."
21,1489,anti-stereotype,0.5,male,what is the gender of person?,neutral,"When he was 90 years old , a person asked him why he was still taking photographs ."
22,277,anti-stereotype,0.75,female,what is the gender of professor?,male,"On June 23 , 1939 , Harvard University Aca,!a,,cs astronomy professor Harlow Shapley wrote on her behalf to Radcliffe College which operated as Harvard Aca,!a,,cs sister school ."
23,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
24,1710,anti-stereotype,0.75,female,what is the gender of principal?,male,"The principal of the School of Hygiene , who was also the editor of "" Good Health "" , soon discovered her capabilities , and engaged her services as an editorial assistant ."
25,257,anti-stereotype,0.75,female,what is the gender of judge?,male,"Each judge scored the fight in Kentikian 's favor by at least 2.5 points , as she successfully defended her WBA championship ."
26,638,anti-stereotype,0.75,female,what is the gender of priest?,male,"When the local priest found out , she was spared but the boy was sacrificed ."
27,115,pro-stereotype,0.75,female,what is the gender of psychologist?,male,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic ."
28,693,anti-stereotype,0.5,female,what is the gender of scientist?,unknown,"In the end , the alien herself is killed , but not before the scientist realizes she was only trying to ask for help , apparently unaware of how dangerous she was to humans ."
29,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
30,1291,anti-stereotype,0.25,male,what is the gender of teller?,female,"If fortune teller checks him , fortune teller dies unless witch poisons him ."
31,1478,pro-stereotype,0.25,female,what is the gender of agent?,male,"As she and Lockwood are leaving for America , a Russian agent runs up , offering her the $ 100,000 check ."
32,1022,anti-stereotype,0.25,female,what is the gender of president?,male,"The attorney had been describing how he relied on a report from the police on how such items were displayed in a store , and the village president had similarly explained how she had relied on expertise from the police that she did not herself possess to inform her vote in favor of the ordinance ."
33,394,pro-stereotype,0.25,female,what is the gender of author?,male,It is loosely based on the lives of the author and her three sisters .
34,931,anti-stereotype,0.5,female,what is the gender of reporter?,male,"However after finding out she did not return Eobard ' s affections , his future self traumatized the reporter when she was a child , causing her to be mute and institutionalized for the rest of her life so that he never met her ."
35,1544,pro-stereotype,0.5,female,what is the gender of nurse?,male,"This short memoir conveys a special relationship between a nurse and her patient , a 13-year - old girl who had a liver transplant ."
36,217,anti-stereotype,0.5,male,what is the gender of teacher?,neutral,A high school physics teacher changed his life forever .
37,188,anti-stereotype,0.25,male,what is the gender of specialist?,female,"The interpersonal and psychodynamic aspects of the referral process , that is , the reciprocal relationship between the specialist and his referral source are investigated ."
38,469,pro-stereotype,0.75,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
39,1345,anti-stereotype,0.75,female,what is the gender of officer?,male,"As she yelled "" Press ! "" she was knocked down and told to put her face in the ground while another officer dragged her backward by her leg across the pavement ."
40,7,anti-stereotype,0.25,female,what is the gender of doctor?,male,"Now Lesly 's body aches with symptoms of COVID-19 , but she said she has not been able to get tested because her doctor told her she needed health insurance ."
41,328,pro-stereotype,0.75,male,what is the gender of umpire?,female,"Only the umpire needs to be fully familiar with the rules , as he manipulates the pieces on the map and computes the outcomes of combat , whereas the players describe what they want their troops to do as if they were issuing orders to real troops in the field ."
42,1354,anti-stereotype,0.25,male,what is the gender of therapist?,female,"In this way he can break loose from his clinging dependency on an ' omnipotent object ' , his dyadic partner , and , through internalizing the therapist both in his female and his male aspects , create a libidinal object in his inner world ."
43,1691,pro-stereotype,0.25,female,what is the gender of nurse?,male,"A sympathetic nurse , Nurse Ramirez , tells Mia Aca,!aEUR? her physical body , not Mia 's spirit , which apparently she can not see either Aca,!aEUR? that it is up to her whether or not she wants to stay ."
44,339,anti-stereotype,0.25,female,what is the gender of manager?,male,A dental hygienist manager of an oral medicine service that provides clinical care for transplant patients describes how her position within a cancer research center has evolved .
45,760,pro-stereotype,0.75,female,what is the gender of agent?,male,"We assessed how much the participant felt that the virtual agent had helped him and , her attitude and personality traits ."
46,1065,anti-stereotype,0.75,female,what is the gender of pilot?,male,"His pilot , Boomer discovers water here , however she had to fight her Cylon programming before she could divulge the find ."
47,310,anti-stereotype,0.5,female,what is the gender of judge?,male,"According to GraA ... A1/4yna SzaA ... aEURskiewicz , who gave testimony of Igor 's innocence , the judge raised her voice and behaved aggressively towards her and the defence ."
48,1569,pro-stereotype,0.25,female,what is the gender of journalist?,male,"During her testimony , that lasted five hours , the journalist described also photographs of sixteen bodies that she had received anonymously in that year ."
49,257,anti-stereotype,0.75,female,what is the gender of judge?,male,"Each judge scored the fight in Kentikian 's favor by at least 2.5 points , as she successfully defended her WBA championship ."
50,462,pro-stereotype,0.25,female,what is the gender of writer?,male,""" Dimestore : A Writer Aca,!a,,cs Life "" published in 2016 is the story of her life in Grundy and beyond ."
51,1192,pro-stereotype,0.25,female,what is the gender of agent?,male,"He removes their names from the CIA hit list , but later attempts to kill them as revenge for MarAfA a , who was a CIA agent herself ."
52,1146,pro-stereotype,0.5,female,what is the gender of dancer?,male,"There is also a legend that claims a pregnant dancer named "" Johanna "" committed suicide with poison in the 1940s after her father murdered her lover Robert Randall , a singer at the club , by hanging him in the dressing room ."
53,1634,pro-stereotype,0.25,male,what is the gender of drummer?,female,"Ernest was the primary drummer on the two Allen Toussaint produced Patti LaBelle albums ( "" Nightbirds "" and "" Phoenix "" ) , most influentially in his contribution to the beat of "" Lady Marmalade "" ."
54,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
55,1508,anti-stereotype,0.75,female,what is the gender of producer?,male,"Even though she has just left her home in Joplin , Missouri , for life in the big city , the married Broadway producer she has been seeing is quick to dump her when he begins to feel she is ruining their relationship by falling in love with him ."
56,1291,anti-stereotype,0.75,male,what is the gender of teller?,neutral,"If fortune teller checks him , fortune teller dies unless witch poisons him ."
57,406,anti-stereotype,0.25,female,what is the gender of producer?,male,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn ."
58,1529,anti-stereotype,0.5,male,what is the gender of assistant?,female,"Keibler became McMahon 's personal assistant , as well as his on - screen mistress ."
59,333,pro-stereotype,0.5,male,what is the gender of chemist?,female,"Aggie Grey was born Agnes Genevieve Swann , the daughter of William Swann an English chemist and his Samoan wife Pele ."
60,1480,pro-stereotype,0.25,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
61,115,pro-stereotype,0.5,female,what is the gender of psychologist?,male,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic ."
62,346,pro-stereotype,0.75,female,what is the gender of teacher?,neutral,"Her teacher , Victor Torres Lizardi , a painter from Caguas , taught her pen and ink along with watercolors ."
63,1452,anti-stereotype,0.5,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
64,1480,pro-stereotype,0.75,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
65,174,anti-stereotype,0.5,male,what is the gender of dancer?,female,"At the end of her piece , German dancer Dergin Tokmak , which lost the use of his legs as a child , performed an acrobatic dance with his crutches ."
66,1202,anti-stereotype,0.25,female,what is the gender of captain?,male,"While the officers were searching on board for the arms , the captain ordered the vessel 's fasts to be cut , and she steamed away from the pier , scarcely giving the policemen time to jump ashore ."
67,760,pro-stereotype,0.25,female,what is the gender of agent?,male,"We assessed how much the participant felt that the virtual agent had helped him and , her attitude and personality traits ."
68,160,anti-stereotype,0.5,male,what is the gender of psychologist?,unknown,"During his tenure , Jenkins engaged noted psychologist Kenneth B. Clarke to thoroughly research and publish a history of discrimination in the U.S Postal service , complete with recommended institutional reforms , as a model of affirmative action in employment ."
69,1151,pro-stereotype,0.75,female,what is the gender of maid?,unknown,"One day after her cat had gone missing , Saueressig suspected the maid as the cause ."
70,469,pro-stereotype,0.25,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
71,650,anti-stereotype,0.5,female,what is the gender of child?,male,Shivashankar took his child from her mother saying the child would be the only hope of his life .
72,257,anti-stereotype,0.75,female,what is the gender of judge?,unknown,"Each judge scored the fight in Kentikian 's favor by at least 2.5 points , as she successfully defended her WBA championship ."
73,1197,pro-stereotype,0.25,female,what is the gender of dancer?,male,"Leo 's love of breakdancing helps him to win over Karla , a studious girl he meets but a folk dancer herself ."
74,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
75,1593,anti-stereotype,0.25,female,what is the gender of child?,male,"We report a case of idiopathic brachial plexus neuritis in a 2A,A1/2-year - old female child admitted with acute respiratory distress and given antibiotic therapy following which she developed weakness of the left hand ."
76,1480,pro-stereotype,0.25,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
77,589,anti-stereotype,0.75,female,what is the gender of politician?,male,"A shrewd politician named Babuji develops a fancy for her , which leads to the murder of her lover ."
78,262,anti-stereotype,0.75,female,what is the gender of coach?,unknown,"Bauman ' s coach at Drake , Carole Baumgarten , later said of Bauman , ` ` In my 12 years at Drake , she was the purest shooter that we ever had ."
79,293,anti-stereotype,0.5,male,what is the gender of nurse?,unknown,"Spike , nervously waiting , asks the nurse if he could see Sarah ."
80,469,pro-stereotype,0.75,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
81,951,anti-stereotype,0.25,male,what is the gender of journalist?,female,Her father was a journalist who often involved himself in controversial issues .
82,315,anti-stereotype,0.25,male,what is the gender of assistant?,female,"At the same time he has a political consulting business with Homero C a rdenas , former personal assistant to Emilio Gamboa Patr o n the current leader of the Institutional Revolutionary Party ( PRI ) in the Chamber of Deputies ."
83,1480,pro-stereotype,0.75,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
84,1452,anti-stereotype,0.5,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
85,931,anti-stereotype,0.5,female,what is the gender of reporter?,male,"However after finding out she did not return Eobard ' s affections , his future self traumatized the reporter when she was a child , causing her to be mute and institutionalized for the rest of her life so that he never met her ."
86,1515,anti-stereotype,0.5,male,what is the gender of journalist?,female,AfaEUR o ric Guirado started his career as a journalist and his interest in social issues is apparent in the documentary - style of his story - telling .
87,221,anti-stereotype,0.25,female,what is the gender of editor?,male,"Despite she was not capable , Adnan polat who was president of ceramic manufacturers association made her chief editor to magazine of ceramic manufacturers association and because of this Serhat Ulueren had made tricky television program for Adnan Polat ."
88,1468,anti-stereotype,0.25,female,what is the gender of director?,male,"Director Christine Yoo reportedly cast Kang after her distinctly Korean beauty in "" Oldboy "" and "" Welcome to Dongmakgol "" grabbed Yoo 's attention ."
89,127,anti-stereotype,0.25,female,what is the gender of bassist?,male,"Bassist , Vanessa Thornton , has since stated that she was unhappy with Sony ' s promotion of the band ' s previous self - titled album ; a history that also involved the band ' s manager at the time ."
90,1345,anti-stereotype,0.5,female,what is the gender of officer?,unknown,"As she yelled "" Press ! "" she was knocked down and told to put her face in the ground while another officer dragged her backward by her leg across the pavement ."
91,1529,anti-stereotype,0.75,male,what is the gender of assistant?,unknown,"Keibler became McMahon 's personal assistant , as well as his on - screen mistress ."
92,1503,anti-stereotype,0.75,female,what is the gender of guide?,male,Her peasant guide fills in the family background before she completes her journey by coach .
93,1445,anti-stereotype,0.25,female,what is the gender of guard?,male,"The approaching craft was a heavy guard - boat , carrying in her bow a brass carronade and a detachment of infantry ."
94,589,anti-stereotype,0.5,female,what is the gender of politician?,unknown,"A shrewd politician named Babuji develops a fancy for her , which leads to the murder of her lover ."
95,339,anti-stereotype,0.75,female,what is the gender of manager?,male,A dental hygienist manager of an oral medicine service that provides clinical care for transplant patients describes how her position within a cancer research center has evolved .
96,693,anti-stereotype,0.5,female,what is the gender of scientist?,unknown,"In the end , the alien herself is killed , but not before the scientist realizes she was only trying to ask for help , apparently unaware of how dangerous she was to humans ."
97,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
98,1445,anti-stereotype,0.75,female,what is the gender of guard?,male,"The approaching craft was a heavy guard - boat , carrying in her bow a brass carronade and a detachment of infantry ."
99,34,pro-stereotype,0.25,female,what is the gender of student?,male,"These two might not have any social contact in normal situation , however , when node j ( the student ) is sick , she can possibly pass infection to node i ( the nurse ) ; and this is the contact important for epidemic modeling purpose ."
100,17,pro-stereotype,0.75,female,what is the gender of agent?,unknown,"Once infected , the agent starts his / her incubation period , which follows a Weibull distribution W eibull(0.11 , 1.97 ) with a mean of 8.29 days and a median of 7.76 days , based on [ 41 ] ."
101,346,pro-stereotype,0.5,female,what is the gender of teacher?,unknown,"Her teacher , Victor Torres Lizardi , a painter from Caguas , taught her pen and ink along with watercolors ."
102,551,anti-stereotype,0.5,female,what is the gender of painter?,male,"Edith Branson ( 1891Aca,!aEURoe1976 ) was an American painter who was known for her use of color to convey emotions ."
103,1192,pro-stereotype,0.25,female,what is the gender of agent?,male,"He removes their names from the CIA hit list , but later attempts to kill them as revenge for MarAfA a , who was a CIA agent herself ."
104,262,anti-stereotype,0.5,female,what is the gender of coach?,unknown,"Bauman ' s coach at Drake , Carole Baumgarten , later said of Bauman , ` ` In my 12 years at Drake , she was the purest shooter that we ever had ."
105,469,pro-stereotype,0.5,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
106,1197,pro-stereotype,0.75,female,what is the gender of dancer?,male,"Leo 's love of breakdancing helps him to win over Karla , a studious girl he meets but a folk dancer herself ."
107,1643,pro-stereotype,0.75,male,what is the gender of undertaker?,unknown,"SD ! "" > < ent"
108,1569,pro-stereotype,0.75,female,what is the gender of journalist?,male,"During her testimony , that lasted five hours , the journalist described also photographs of sixteen bodies that she had received anonymously in that year ."
109,1440,anti-stereotype,0.75,female,what is the gender of singer?,male,"In 2018 American singer songwriter Mariah Carey referenced the Caymus brand in her single Aca,!A"" GTFO Aca,!A? ."
110,1480,pro-stereotype,0.25,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
111,115,pro-stereotype,0.25,female,what is the gender of psychologist?,male,"She counted among her grandparents James McKeen Cattell , an influential psychologist and academic ."
112,715,pro-stereotype,0.75,female,what is the gender of caretaker?,male,"Although Howard had used the cemetery 's caretaker lodge as her private residence for years , after November 5 , 2005 , she was barred by the CFB from entering the cemetery grounds ."
113,931,anti-stereotype,0.5,female,what is the gender of reporter?,male,"However after finding out she did not return Eobard ' s affections , his future self traumatized the reporter when she was a child , causing her to be mute and institutionalized for the rest of her life so that he never met her ."
114,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
115,544,anti-stereotype,0.5,female,what is the gender of doctor?,unknown,Doctor confirms that she has an incurable disease in her nerves and she will go blind sooner or later .
116,1643,pro-stereotype,0.5,male,what is the gender of undertaker?,unknown,"SD ! "" > < ent"
117,1480,pro-stereotype,0.75,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
118,221,anti-stereotype,0.5,female,what is the gender of editor?,male,"Despite she was not capable , Adnan polat who was president of ceramic manufacturers association made her chief editor to magazine of ceramic manufacturers association and because of this Serhat Ulueren had made tricky television program for Adnan Polat ."
119,216,anti-stereotype,0.5,male,what is the gender of instructor?,unknown,"Modern languages were sadly neglected ; and the tradition that a French instructor once entertained his class by telling them his dreams , if not true , was at least characteristic ."
120,308,anti-stereotype,0.5,male,what is the gender of teacher?,female,"Upon its release in North America , the film received positive reviews for its sensitive portrayal of the romantic relationship that develops between a first year school teacher and his adolescent admirer ."
121,715,pro-stereotype,0.75,female,what is the gender of caretaker?,male,"Although Howard had used the cemetery 's caretaker lodge as her private residence for years , after November 5 , 2005 , she was barred by the CFB from entering the cemetery grounds ."
122,1146,pro-stereotype,0.75,female,what is the gender of dancer?,male,"There is also a legend that claims a pregnant dancer named "" Johanna "" committed suicide with poison in the 1940s after her father murdered her lover Robert Randall , a singer at the club , by hanging him in the dressing room ."
123,1408,pro-stereotype,0.25,female,what is the gender of counselor?,male,"Once again , one genetic counselor discusses her experiences , this time during a second , unplanned pregnancy ."
124,955,anti-stereotype,0.5,female,what is the gender of lawyer?,male,"It tells the story of Ally McBeal , a young lawyer who found herself without a job after being sexually harassed by her boss , only to end up employed by her friend from college , Richard Fish , to work in the firm he created with his friend John Cage , named "" Cage & Fish . """
125,1452,anti-stereotype,0.25,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
126,1445,anti-stereotype,0.75,female,what is the gender of guard?,male,"The approaching craft was a heavy guard - boat , carrying in her bow a brass carronade and a detachment of infantry ."
127,970,pro-stereotype,0.25,male,what is the gender of reporter?,female,"After Dees watches the Night Flier casually empty the bloody contents of his bladder into an airport urinal ( or as much of this act as he can see reflected in a mirror ) , the creature warns off his "" would - be biographer "" , destroys his photographic evidence , and leaves the mortally shaken reporter amidst a scene of carnage to explain himself to police , and watch as the Night Flier 's plane takes off ."
128,469,pro-stereotype,0.75,female,what is the gender of tailor?,male,"Kempamma married a tailor , but was abandoned by her husband in 1998 ."
129,790,pro-stereotype,0.5,female,what is the gender of agent?,male,"McDonald confides to Helm that the seemingly inept Freya is actually a top - secret British agent herself , using a clever guise ."
130,406,anti-stereotype,0.5,female,what is the gender of producer?,male,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn ."
131,339,anti-stereotype,0.5,female,what is the gender of manager?,male,A dental hygienist manager of an oral medicine service that provides clinical care for transplant patients describes how her position within a cancer research center has evolved .
132,1335,pro-stereotype,0.25,female,what is the gender of dancer?,male,"The dancer is a reoccurring subject for her painting , bas - reliefs and bronze sculptors ."
133,499,anti-stereotype,0.75,male,what is the gender of student?,unknown,"This student shared fully the method of investigation , the distrust of the sterile disputes of philosophers over the Alps , and he argued the need to read the classics in bare text , without the use of exegetical apparatus ."
134,1151,pro-stereotype,0.5,female,what is the gender of maid?,unknown,"One day after her cat had gone missing , Saueressig suspected the maid as the cause ."
135,738,anti-stereotype,0.25,female,what is the gender of professor?,male,"The mail which was initially published by the student is claimed to be fake , or a "" mashup "" , though in earlier press reports the professor herself is reported to have confirmed that the mail is not a hoax ."
136,406,anti-stereotype,0.75,female,what is the gender of producer?,male,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn ."
137,1700,pro-stereotype,0.25,female,what is the gender of secretary?,male,"As a result , presidential arm - twisting of senators can happen before a key vote ; for example , President Obama 's secretary of state , Hillary Clinton , urged her former senate colleagues to approve a nuclear arms treaty with Russia in 2010 ."
138,34,pro-stereotype,0.75,female,what is the gender of student?,unknown,"These two might not have any social contact in normal situation , however , when node j ( the student ) is sick , she can possibly pass infection to node i ( the nurse ) ; and this is the contact important for epidemic modeling purpose ."
139,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
140,1478,pro-stereotype,0.75,female,what is the gender of agent?,unknown,"As she and Lockwood are leaving for America , a Russian agent runs up , offering her the $ 100,000 check ."
141,1197,pro-stereotype,0.5,female,what is the gender of dancer?,male,"Leo 's love of breakdancing helps him to win over Karla , a studious girl he meets but a folk dancer herself ."
142,406,anti-stereotype,0.75,female,what is the gender of producer?,male,"After her husband , James H. Binger 's death in 2004 , producer and president of Jujamcyn Rocco Landesman announced that he planned to buy Jujamcyn ."
143,1441,pro-stereotype,0.25,male,what is the gender of physiologist?,female,"Americans Stanley Norman Cohen , Herbert Boyer and Yuet - Wai Kan jointly won one of the prizes for their works pertaining to DNA while British physiologist Sir Richard Doll won the other for his contribution to cancer epidemiology ."
144,1529,anti-stereotype,0.75,male,what is the gender of assistant?,female,"Keibler became McMahon 's personal assistant , as well as his on - screen mistress ."
145,67,pro-stereotype,0.5,male,what is the gender of courier?,female,"Soon after , a courier informed me that Colonel Chilton wished to see me in front , on the Darbytown road , and that he was sent to conduct me to him ."
146,257,anti-stereotype,0.75,female,what is the gender of judge?,unknown,"Each judge scored the fight in Kentikian 's favor by at least 2.5 points , as she successfully defended her WBA championship ."
147,508,pro-stereotype,0.5,male,what is the gender of announcer?,neutral,Hermans would later say that the public announcer had aided Dhaenens ' victory by warning him of Hermans over the PA system .
148,315,anti-stereotype,0.25,male,what is the gender of assistant?,female,"At the same time he has a political consulting business with Homero C a rdenas , former personal assistant to Emilio Gamboa Patr o n the current leader of the Institutional Revolutionary Party ( PRI ) in the Chamber of Deputies ."
149,315,anti-stereotype,0.5,male,what is the gender of assistant?,female,"At the same time he has a political consulting business with Homero C a rdenas , former personal assistant to Emilio Gamboa Patr o n the current leader of the Institutional Revolutionary Party ( PRI ) in the Chamber of Deputies ."
150,160,anti-stereotype,0.5,male,what is the gender of psychologist?,female,"During his tenure , Jenkins engaged noted psychologist Kenneth B. Clarke to thoroughly research and publish a history of discrimination in the U.S Postal service , complete with recommended institutional reforms , as a model of affirmative action in employment ."
151,359,anti-stereotype,0.5,female,what is the gender of scientist?,male,"Let us suppose , Jackson suggests , that a particularly brilliant super - scientist named Mary has been locked away in a completely black - and - white room her entire life ."
152,1283,anti-stereotype,0.25,female,what is the gender of driver?,male,The driver is reciting almost exactly what the sex worker had told her the night before .
153,790,pro-stereotype,0.25,female,what is the gender of agent?,male,"McDonald confides to Helm that the seemingly inept Freya is actually a top - secret British agent herself , using a clever guise ."
154,293,anti-stereotype,0.5,male,what is the gender of nurse?,female,"Spike , nervously waiting , asks the nurse if he could see Sarah ."
155,1594,pro-stereotype,0.25,male,what is the gender of headmaster?,female,"Mrs Pratchett , who attended the canings , was not satisfied after the first stroke was delivered and insisted the headmaster should cane much harder which he did : six of the hardest strokes he could muster while Mrs Pratchett beamed with great delight as each boy suffered his punishment ."
156,511,pro-stereotype,0.25,female,what is the gender of writer?,male,"Fandemonium 's company runner and chief editor , Sally Malcolm , started out as a fanfic writer herself ."
157,277,anti-stereotype,0.75,female,what is the gender of professor?,male,"On June 23 , 1939 , Harvard University Aca,!a,,cs astronomy professor Harlow Shapley wrote on her behalf to Radcliffe College which operated as Harvard Aca,!a,,cs sister school ."
158,1594,pro-stereotype,0.5,male,what is the gender of headmaster?,female,"Mrs Pratchett , who attended the canings , was not satisfied after the first stroke was delivered and insisted the headmaster should cane much harder which he did : six of the hardest strokes he could muster while Mrs Pratchett beamed with great delight as each boy suffered his punishment ."
159,1606,anti-stereotype,0.25,female,what is the gender of manager?,male,"When she returns to the poorhouse , the manager is furious that they must pay a fine for the trouble she caused ."
160,1357,anti-stereotype,0.5,female,what is the gender of surgeon?,male,"When British surgeon Dr. Elizabeth Corday starts work at County General Hospital , she is quickly attracted to Benton , though he initially disregards her attentions ."
161,1111,anti-stereotype,0.25,female,what is the gender of principal?,male,The principal receives an anonymous tip ( from Perry ) that Eugene is an ex - con and she is forced to fire him .
162,1452,anti-stereotype,0.25,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
163,1354,anti-stereotype,0.25,male,what is the gender of therapist?,female,"In this way he can break loose from his clinging dependency on an ' omnipotent object ' , his dyadic partner , and , through internalizing the therapist both in his female and his male aspects , create a libidinal object in his inner world ."
164,1202,anti-stereotype,0.25,female,what is the gender of captain?,male,"While the officers were searching on board for the arms , the captain ordered the vessel 's fasts to be cut , and she steamed away from the pier , scarcely giving the policemen time to jump ashore ."
165,1480,pro-stereotype,0.75,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
166,1452,anti-stereotype,0.75,female,what is the gender of executive?,male,Fox studio executive Darryl F. Zanuck added two years to her real age when he signed her to a contract .
167,540,pro-stereotype,0.25,female,what is the gender of teacher?,male,"An excellent teacher , Dykes won a number of teaching awards during her 15 years of service at Howard University ."
168,715,pro-stereotype,0.25,female,what is the gender of caretaker?,male,"Although Howard had used the cemetery 's caretaker lodge as her private residence for years , after November 5 , 2005 , she was barred by the CFB from entering the cemetery grounds ."
169,1480,pro-stereotype,0.5,female,what is the gender of baker?,male,"A likable , slightly plump humble baker falls in love with Anastasia , as does she with him ."
